Source,RA_ICRS,DE_ICRS,pmRA,pmDE,Gmag,BPmRP,RUWE,epsi,sepsi,uvista_matchdistarcsec,uvista_Ymag,uvista_Jmag,uvista_Hmag,uvista_Ksmag,ukidss_matchdistarcsec,ukidss_Ymag,ukidss_Jmag,ukidss_Hmag,ukidss_Ksmag,FromPS1_Hmag,MUSEIOT_Jmag
3836037365974285184,149.96388117857,1.90247003354,-5.213,9.372,16.5835,1.17102,1.033,0.115,0.49870515,0.20166216508423798,15.407,15.124,14.631,14.503,0.07724911265155204,15.475000381469727,15.166999816894531,14.598999977111816,14.505999565124512,14.627112,15.072814
3836037499118700160,149.93519695149,1.9026099477,5.88,-5.02,19.8153,2.25374,1.091,1.148,1.0479591,0.13220758803645447,17.577,17.122,16.574,16.279,0.17889082941536583,17.58799934387207,17.6200008392334,16.483999252319336,16.26099967956543,16.476067,17.225006
3836037572132715648,149.92020788464,1.9164709642,-5.117,-2.345,17.6458,0.805422,1.012,0.0,0.0,0.1811272130665289,16.824,16.634,16.294,16.189,0.15412011169730683,16.843000411987305,16.687999725341797,16.226999282836914,16.113000869750977,16.227673,16.556849
3836042343841811200,150.03783004406,1.90813430871,-3.204,-3.978,18.5366,0.700226,1.003,0.0,0.0,0.1591398905382521,17.972,17.826,17.56,17.47,0.1682359009204573,17.969999313354492,17.738000869750977,17.4950008392334,17.357999801635742,17.478321,17.574345
3836042519935039616,150.00331981945,1.91726564474,,,21.124,1.66613,,15.736,9.025831,0.13540253736632268,17.044,16.531,15.835,15.144,0.10987648131148059,17.795000076293945,17.238000869750977,16.464000701904297,15.746000289916992,16.340897,19.088207
3836042550000243072,150.0283597903,1.91858454492,-4.737,-2.652,17.8045,0.771671,0.962,0.0,0.0,0.17749419379055462,17.019,16.839,16.528,16.414,0.17102318692949903,17.04400062561035,16.788999557495117,16.474000930786133,16.33300018310547,16.435083,16.755938
3836042588654515840,150.04096036351,1.91566321435,-7.813,-3.154,16.7269,0.878647,0.971,0.0,0.0,0.20784384662579897,15.828,15.64,15.303,15.211,0.17835612262585018,15.937000274658203,15.619000434875488,15.279000282287598,15.218000411987305,15.280001,15.551167
3836042618719787904,150.0188633512,1.92576016849,,,20.6187,1.54321,,1.142,0.25211942,0.170192286479177,18.639,18.21,17.654,17.368,0.08271450501848758,18.608999252319336,18.108999252319336,17.704999923706055,17.360000610351562,17.487494,18.708334
3836042687439130112,150.07464090684,1.91503439683,-5.737,-5.499,14.2407,0.830782,1.06,0.061,1.351256,0.1902577794279168,13.38,13.315,12.924,12.834,0.20395267073456064,13.420999526977539,13.164999961853027,12.878000259399414,12.829999923706055,12.8815775,13.121562
3836042687439411968,150.07315041175,1.91506352603,-10.697,-1.279,17.4479,0.994535,1.135,0.409,2.9010577,0.2245280783303028,16.204,15.977,15.622,15.499,0.21575031513418877,16.5,16.128999710083008,15.74899959564209,15.708999633789062,15.7719965,16.137194
3836042691733730432,150.07522587421,1.91554365337,-6.152,-5.397,18.9506,1.45637,1.046,0.733,1.3119773,0.17772770116080774,16.266,15.956,15.475,15.286,0.1717190964975199,16.80900001525879,16.277000427246094,15.689000129699707,15.45300006866455,15.639885,17.13081
3836042721798935296,150.08665514832,1.92280101137,9.598,-10.638,17.3882,1.60824,1.002,0.0,0.0,0.1466091896522194,15.877,15.524,14.933,14.757,0.18797137047160692,15.975000381469727,15.527000427246094,14.895000457763672,14.744000434875488,14.88659,15.411071
3836042893597628928,150.07327047722,1.93996099156,-2.349,-6.882,18.6626,0.722366,1.03,0.0,0.0,0.13694207374530765,18.039,17.878,17.622,17.516,0.21322406990274442,18.062000274658203,17.910999298095703,17.54400062561035,17.579999923706055,17.527143,17.673481
3836042824878151168,150.09157401706,1.93090984612,,,21.2759,1.71341,,27.446,91.15989,0.12068375664606616,17.201,16.681,16.025,15.42,0.11907913933570592,17.808000564575195,17.260000228881836,16.483999252319336,15.848999977111816,16.347712,19.192732
3836042962317105280,150.05109464452,1.93504226769,-0.67,-3.638,16.6446,1.02121,0.916,0.0,0.0,0.12788947869873912,15.606,15.382,15.001,14.893,0.18635979177029383,15.675000190734863,15.361000061035156,14.928999900817871,14.859000205993652,14.940473,15.303235
3836042996676843520,150.06128728852,1.93427334656,-1.308,-5.865,19.5866,0.633121,1.036,0.0,0.0,0.1344562487957976,18.894,18.693,18.37,18.247,0.26199488813247235,18.861000061035156,18.58300018310547,18.488000869750977,,18.31532,18.706413
3836043168475537408,150.06454294224,1.95587737512,-1.983,-5.77,20.1831,1.78113,1.017,0.0,0.0,0.1555709954190691,18.443,18.045,17.474,17.228,0.18650324666249324,18.34600067138672,18.09600067138672,17.386999130249023,17.201000213623047,17.310253,18.032915
