index_x,MatchRA,MatchDec,SourceRA,SourceDec,D,DSigma,AbsCorr,XImage,YImage,ImageName,Instrument,Mode,Detector,Aperture,ExposureTime,StartTime,StopTime,StartMJD,StopMJD,WaveLength,Filter,TargetName,FluxAper2,MagAper2,MagAuto,PropID,CI,KronRadius,Flags,HTMID,X,Y,Z,CatID,MatchID,MemID,SourceID,ImageID,Det,neighbour_x,level_0,index_y,source_id,ra,dec,parallax,pmra,pmdec,phot_g_mean_mag,phot_bp_mean_mag,phot_rp_mean_mag,astrometric_excess_noise,astrometric_excess_noise_sig,ruwe,astrometric_sigma5d_max,neighbour_y,d2dself
62,34.2388155827241,-5.21583305692576,34.2388146493343,-5.21583418008881,5.24848862625145,29.1165327017162,Y,722.830993652344,966.961975097656,hst_12064_97_wfc3_ir_f160w,WFC3,MULTIACCUM,WFC3/IR,IR-FIX,1605.87,11/16/2010 1:47:40 PM,11/16/2010 2:15:27 PM,55516.5747689628,55516.5940737617,15369.176,F160W,UDS-V97,5299.06005859375,16.635799407959,16.5153007507324,12064,1.07328357981212,0.454999983310699,0,8995895610340,0.823276493276363,0.560313832995543,-0.090907778406837,451703860,97543383,4,6000444470012,1010416,Y,1.0,2943,81,2488162794676577792,34.2388155952012,-5.21582509898736,0.57342162144117,3.71749469375637,0.475668815865982,16.4022,16.7381,15.8958,0.0,0.0,0.959883,0.110001,0.0,99.0
63,34.2388155827241,-5.21583305692576,34.2388149058086,-5.21583432800711,5.17959257153961,29.1165327017162,Y,690.586975097656,998.734985351563,hst_12064_1q_wfc3_ir_f160w,WFC3,MULTIACCUM,WFC3/IR,IR-FIX,1805.87,1/5/2011 7:09:23 AM,1/5/2011 7:40:31 AM,55566.2981839096,55566.3198035555,15369.176,F160W,UDS-V1Q,5379.10986328125,16.6196002960205,16.4965000152588,12064,1.18522386052715,0.454999983310699,0,8995895610340,0.823276493276363,0.560313832995543,-0.090907778406837,451703861,97543383,2,6000438428611,1011816,Y,1.0,2943,81,2488162794676577792,34.2388155952012,-5.21582509898736,0.57342162144117,3.71749469375637,0.475668815865982,16.4022,16.7381,15.8958,0.0,0.0,0.959883,0.110001,0.0,99.0
93,34.2300111007163,-5.20140985369366,34.2300087924567,-5.2014136171979,15.8760558957219,11.1556456502007,Y,1034.55297851563,77.8629989624023,hst_12064_1r_wfc3_ir_f160w,WFC3,MULTIACCUM,WFC3/IR,IR-FIX,1705.87,1/5/2011 11:57:31 AM,1/5/2011 12:26:59 PM,55566.4982765345,55566.5187387224,15369.176,F160W,UDS-V1R,1801.18994140625,17.8073997497559,17.701099395752,12064,1.15611944625627,0.454999983310699,0,8995895848748,0.82338147985487,0.560200170908839,-0.090657085488515,447158045,69870913,16,6000435908695,1011583,Y,2.0,2945,83,2488162893460260096,34.2300214651278,-5.20141496854624,1.95617372722996,12.6354853376761,-9.43204508267715,19.6453,21.2602,18.409,1.01347,0.968987,1.04203,0.802846,0.0,99.0
94,34.2300111007163,-5.20140985369366,34.2300108021867,-5.20141323186964,12.2084383695658,11.1556456502007,Y,1065.958984375,46.257999420166,hst_12064_98_wfc3_ir_f160w,WFC3,MULTIACCUM,WFC3/IR,IR-FIX,1605.87,11/16/2010 4:58:12 PM,11/16/2010 5:25:59 PM,55516.7070837081,55516.7263885117,15369.176,F160W,UDS-V98,2010.9599609375,17.6877994537354,17.5890007019043,12064,0.962686538696289,0.454999983310699,0,8995895848748,0.82338147985487,0.560200170908839,-0.090657085488515,447158047,69870913,11,6000434051622,1010424,Y,2.0,2945,83,2488162893460260096,34.2300214651278,-5.20141496854624,1.95617372722996,12.6354853376761,-9.43204508267715,19.6453,21.2602,18.409,1.01347,0.968987,1.04203,0.802846,0.0,99.0
95,34.2300111007163,-5.20140985369366,34.230010851057,-5.20140830449029,5.64850052403988,11.1556456502007,Y,1073.63696289063,1543.93298339844,hst_12064_97_wfc3_ir_f160w,WFC3,MULTIACCUM,WFC3/IR,IR-FIX,1605.87,11/16/2010 1:47:40 PM,11/16/2010 2:15:27 PM,55516.5747689628,55516.5940737617,15369.176,F160W,UDS-V97,1891.41003417969,17.7544002532959,17.6585006713867,12064,1.08611939558342,0.454999983310699,0,8995895848748,0.82338147985487,0.560200170908839,-0.090657085488515,447158049,69870913,1,6000444469916,1010416,Y,2.0,2945,83,2488162893460260096,34.2300214651278,-5.20141496854624,1.95617372722996,12.6354853376761,-9.43204508267715,19.6453,21.2602,18.409,1.01347,0.968987,1.04203,0.802846,0.0,99.0
104,34.4901889989178,-5.25826509371669,34.4901922767304,-5.25826476717298,11.8091242926455,17.4074147927672,Y,94.5839996337891,714.703979492188,hst_12064_0y_wfc3_ir_f160w,WFC3,MULTIACCUM,WFC3/IR,IR-FIX,1605.87,11/10/2010 9:10:58 AM,11/10/2010 9:38:45 AM,55510.3826157083,55510.4019205417,15369.176,F160W,UDS-V0Y,4597.7099609375,16.7900009155273,16.6802005767822,12064,1.07835824809857,0.454999983310699,0,8995926955958,0.820754601044756,0.563882106603952,-0.0916452656570982,442117349,39283269,5,6000444455403,1010207,Y,1.0,3318,456,2489649467540752768,34.4901704039989,-5.25828483710841,1.87380967850278,-5.5932661650993,-19.4557913730188,18.4826,20.007,17.2838,0.232926,0.275208,0.925338,0.293888,0.0,99.0
105,34.4901889989178,-5.25826509371669,34.4901916719745,-5.25826548565629,9.68583142778099,17.4074147927672,Y,63.2000007629395,747.39501953125,hst_12064_2r_wfc3_ir_f160w,WFC3,MULTIACCUM,WFC3/IR,IR-FIX,1705.87,12/29/2010 5:21:01 PM,12/29/2010 5:50:29 PM,55559.7229290879,55559.7433916642,15369.176,F160W,UDS-V2R,5037.39990234375,16.6907997131348,16.5928001403809,12064,0.965373106856844,0.454999983310699,0,8995926955958,0.820754601044756,0.563882106603952,-0.0916452656570982,442117352,39283269,2,6000435955802,1011314,Y,1.0,3318,456,2489649467540752768,34.4901704039989,-5.25828483710841,1.87380967850278,-5.5932661650993,-19.4557913730188,18.4826,20.007,17.2838,0.232926,0.275208,0.925338,0.293888,0.0,99.0
133,34.4374697146533,-5.27095115076013,34.4374691772238,-5.27095033930135,3.49933762721287,10.5057507683253,Y,859.421020507813,215.981002807617,hst_12064_0u_wfc3_ir_f160w,WFC3,MULTIACCUM,WFC3/IR,IR-FIX,1605.87,11/11/2010 4:21:10 AM,11/11/2010 4:48:57 AM,55511.1813657084,55511.2006705417,15369.176,F160W,UDS-V0U,3233.86010742188,17.1720008850098,17.0352001190186,12064,1.32880593413737,0.454999983310699,1,8995927079397,0.821256340191768,0.563115182335079,-0.0918657451032062,442781510,43330424,2,6000437487215,1010241,Y,1.0,3295,433,2489648131806011520,34.4374940890426,-5.27095577823245,1.62884965107722,23.8084190975995,-9.68486612899019,18.5559,19.7205,17.202,0.828458,2.8294,1.0885,0.348717,1.0,1.4652449724048981
134,34.4374697146533,-5.27095115076013,34.437467934019,-5.27095143639541,6.46547154004719,10.5057507683253,Y,828.176025390625,247.561996459961,hst_12064_2n_wfc3_ir_f160w,WFC3,MULTIACCUM,WFC3/IR,IR-FIX,1705.87,12/30/2010 5:18:39 PM,12/30/2010 5:48:07 PM,55560.7212857846,55560.741748014,15369.176,F160W,UDS-V2N,4011.18994140625,16.9381008148193,16.8241004943848,12064,1.04507465860737,0.454999983310699,0,8995927079397,0.821256340191768,0.563115182335079,-0.0918657451032062,442781512,43330424,10,6000440010154,1011382,Y,1.0,3295,433,2489648131806011520,34.4374940890426,-5.27095577823245,1.62884965107722,23.8084190975995,-9.68486612899019,18.5559,19.7205,17.202,0.828458,2.8294,1.0885,0.348717,1.0,1.4652449724048981
135,34.4371673528896,-5.2706786294846,34.4371663259416,-5.27067888536116,3.79487740693637,10.6969038728063,Y,871.486022949219,226.837005615234,hst_12064_0u_wfc3_ir_f160w,WFC3,MULTIACCUM,WFC3/IR,IR-FIX,1605.87,11/11/2010 4:21:10 AM,11/11/2010 4:48:57 AM,55511.1813657084,55511.2006705417,15369.176,F160W,UDS-V0U,2363.67993164063,17.5123996734619,17.3995990753174,12064,1.01641790190739,0.454999983310699,0,8995927079713,0.821259672220071,0.56311109547609,-0.0918610088215128,450639572,91063141,4,6000437487223,1010241,Y,0.0,3294,432,2489648131806011392,34.4371905384455,-5.27068320936281,1.18345267721633,23.1116839431904,-9.93939275185407,19.3438,,,1.11011,2.11026,1.09586,0.932146,1.0,1.4652449724024126
