id,id1,id2,mag1,mag2,seppix
0,488.0,719.0,18.3218002319336,17.6149997711182,0.94382724997779
1,1212.0,1245.0,13.7610998153687,15.3971004486084,2.199063939739329
2,232.0,156.0,20.6082992553711,18.9097003936768,3.243055206704472
3,1347.0,305.0,17.9428005218506,19.7828998565674,1.5402772720584834
4,671.0,1373.0,19.0223007202148,18.5541000366211,1.9290227979122772
5,950.0,796.0,16.2553997039795,16.318000793457,5.918170502845669
6,334.0,1300.0,19.5993995666504,17.8749008178711,3.5291427893243292
7,326.0,1393.0,17.9503993988037,15.9523000717163,4.774703766635273
8,460.0,494.0,18.6532001495361,18.2383003234863,1.923432832866977
9,783.0,1205.0,17.9377994537354,16.2290992736816,3.6141425423621976
10,858.0,355.0,19.343599319458,18.225700378418,1.696074563125449
11,629.0,815.0,16.5687999725342,13.8268003463745,0.735331663241519
12,920.0,1216.0,18.485200881958,15.8388004302979,3.2703129743085544
13,1351.0,831.0,19.1781005859375,20.0422992706299,4.560335156908721
14,1507.0,374.0,18.2201995849609,19.2794990539551,3.213505102068671
15,690.0,99.0,17.0949993133545,17.7532997131348,5.285662227946159
16,1100.0,902.0,18.6350994110107,15.7185001373291,4.009537324075408
17,1216.0,755.0,15.8388004302979,18.7726001739502,3.8909385402041434
18,161.0,828.0,15.6871995925903,18.4081993103027,5.14297486586851
19,45.0,418.0,18.4088001251221,18.4773006439209,2.9178362818534476
20,362.0,601.0,16.4923992156982,18.5618000030518,2.3415465100945885
21,1089.0,1210.0,13.9779996871948,15.3219995498657,3.2713238040415296
22,1237.0,59.0,20.5753002166748,18.2784004211426,1.836023076009336
23,1367.0,800.0,18.5513000488281,16.9122009277344,3.144852039869186
24,1020.0,1514.0,18.3299007415771,19.2710990905762,3.708148984936375
25,1449.0,1466.0,13.878399848938,16.5729999542236,3.5636013672986926
26,1447.0,622.0,17.6443996429443,16.5501003265381,3.230406206458459
27,654.0,1335.0,18.5226001739502,17.5333995819092,2.8377904396988995
28,1331.0,199.0,18.3407001495361,18.766300201416,2.320732090215811
